antecedents,consequents,support,confidence,lift
"pm10=med, temp=med","humidity=med, pm2_5=med, wind_speed=med",0.25,1.0,4.0
"pm2_5=med, wind_speed=med","humidity=med, pm10=med, temp=med",0.25,1.0,4.0
"pm10=med, wind_speed=med","humidity=med, pm2_5=med, temp=med",0.25,1.0,4.0
pm2_5=med,"humidity=med, pm10=med, temp=med, wind_speed=med",0.25,1.0,4.0
pm10=med,"humidity=med, pm2_5=med, temp=med, wind_speed=med",0.25,1.0,4.0
"humidity=med, pm2_5=med, precip=med, temp=med",pm10=med,0.25,1.0,4.0
"humidity=med, pm10=med, precip=med, temp=med",pm2_5=med,0.25,1.0,4.0
"humidity=med, pm2_5=med, temp=med","pm10=med, precip=med",0.25,1.0,4.0
"humidity=med, pm10=med, temp=med","pm2_5=med, precip=med",0.25,1.0,4.0
"humidity=med, pm2_5=med, precip=med","pm10=med, temp=med",0.25,1.0,4.0
"humidity=med, pm10=med, precip=med","pm2_5=med, temp=med",0.25,1.0,4.0
"pm2_5=med, precip=med, temp=med","humidity=med, pm10=med",0.25,1.0,4.0
"pm10=med, precip=med, temp=med","humidity=med, pm2_5=med",0.25,1.0,4.0
"humidity=med, pm2_5=med","pm10=med, precip=med, temp=med",0.25,1.0,4.0
"humidity=med, pm10=med","pm2_5=med, precip=med, temp=med",0.25,1.0,4.0
"pm2_5=med, temp=med","humidity=med, pm10=med, precip=med",0.25,1.0,4.0
"pm10=med, temp=med","humidity=med, pm2_5=med, precip=med",0.25,1.0,4.0
"pm2_5=med, precip=med","humidity=med, pm10=med, temp=med",0.25,1.0,4.0
"pm10=med, precip=med","humidity=med, pm2_5=med, temp=med",0.25,1.0,4.0
pm2_5=med,"humidity=med, pm10=med, precip=med, temp=med",0.25,1.0,4.0
pm10=med,"humidity=med, pm2_5=med, precip=med, temp=med",0.25,1.0,4.0
"pm2_5=med, precip=med, temp=med, wind_speed=med",pm10=med,0.25,1.0,4.0
"pm10=med, precip=med, temp=med, wind_speed=med",pm2_5=med,0.25,1.0,4.0
"pm2_5=med, temp=med, wind_speed=med","pm10=med, precip=med",0.25,1.0,4.0
"pm2_5=med, precip=med, temp=med","pm10=med, wind_speed=med",0.25,1.0,4.0
"pm10=med, temp=med, wind_speed=med","pm2_5=med, precip=med",0.25,1.0,4.0
"pm10=med, precip=med, temp=med","pm2_5=med, wind_speed=med",0.25,1.0,4.0
"pm2_5=med, precip=med, wind_speed=med","pm10=med, temp=med",0.25,1.0,4.0
"pm10=med, precip=med, wind_speed=med","pm2_5=med, temp=med",0.25,1.0,4.0
"pm2_5=med, temp=med","pm10=med, precip=med, wind_speed=med",0.25,1.0,4.0
"pm10=med, temp=med","pm2_5=med, precip=med, wind_speed=med",0.25,1.0,4.0
"pm2_5=med, wind_speed=med","pm10=med, precip=med, temp=med",0.25,1.0,4.0
"pm2_5=med, precip=med","pm10=med, temp=med, wind_speed=med",0.25,1.0,4.0
"pm10=med, wind_speed=med","pm2_5=med, precip=med, temp=med",0.25,1.0,4.0
"pm10=med, precip=med","pm2_5=med, temp=med, wind_speed=med",0.25,1.0,4.0
pm2_5=med,"pm10=med, precip=med, temp=med, wind_speed=med",0.25,1.0,4.0
pm10=med,"pm2_5=med, precip=med, temp=med, wind_speed=med",0.25,1.0,4.0
"humidity=med, pm2_5=med, precip=med, wind_speed=med",pm10=med,0.25,1.0,4.0
"humidity=med, pm10=med, precip=med, wind_speed=med",pm2_5=med,0.25,1.0,4.0
"humidity=med, pm2_5=med, wind_speed=med","pm10=med, precip=med",0.25,1.0,4.0
"humidity=med, pm2_5=med, precip=med","pm10=med, wind_speed=med",0.25,1.0,4.0
"humidity=med, pm10=med, wind_speed=med","pm2_5=med, precip=med",0.25,1.0,4.0
"humidity=med, pm10=med, precip=med","pm2_5=med, wind_speed=med",0.25,1.0,4.0
"pm2_5=med, precip=med, wind_speed=med","humidity=med, pm10=med",0.25,1.0,4.0
"pm10=med, precip=med, wind_speed=med","humidity=med, pm2_5=med",0.25,1.0,4.0
"humidity=med, pm2_5=med","pm10=med, precip=med, wind_speed=med",0.25,1.0,4.0
"humidity=med, pm10=med","pm2_5=med, precip=med, wind_speed=med",0.25,1.0,4.0
"pm2_5=med, wind_speed=med","humidity=med, pm10=med, precip=med",0.25,1.0,4.0
"pm2_5=med, precip=med","humidity=med, pm10=med, wind_speed=med",0.25,1.0,4.0
"pm10=med, wind_speed=med","humidity=med, pm2_5=med, precip=med",0.25,1.0,4.0
"pm10=med, precip=med","humidity=med, pm2_5=med, wind_speed=med",0.25,1.0,4.0
pm2_5=med,"humidity=med, pm10=med, precip=med, wind_speed=med",0.25,1.0,4.0
pm10=med,"humidity=med, pm2_5=med, precip=med, wind_speed=med",0.25,1.0,4.0
"co=low, pm10=low, temp=med","no2=low, o3=low",0.25,1.0,4.0
"no2=low, pm10=low, temp=med","co=low, o3=low",0.25,1.0,4.0
"co=low, o3=low, temp=med","no2=low, pm10=low",0.25,1.0,4.0
"no2=low, o3=low, temp=med","co=low, pm10=low",0.25,1.0,4.0
"co=low, pm10=low","no2=low, o3=low, temp=med",0.25,1.0,4.0
"no2=low, pm10=low","co=low, o3=low, temp=med",0.25,1.0,4.0
"co=low, o3=low","no2=low, pm10=low, temp=med",0.25,1.0,4.0
"no2=low, o3=low","co=low, pm10=low, temp=med",0.25,1.0,4.0
"co=low, humidity=med, pm10=low","no2=low, o3=low",0.25,1.0,4.0
"humidity=med, no2=low, pm10=low","co=low, o3=low",0.25,1.0,4.0
"co=low, humidity=med, o3=low","no2=low, pm10=low",0.25,1.0,4.0
"humidity=med, no2=low, o3=low","co=low, pm10=low",0.25,1.0,4.0
"co=low, pm10=low","humidity=med, no2=low, o3=low",0.25,1.0,4.0
"no2=low, pm10=low","co=low, humidity=med, o3=low",0.25,1.0,4.0
"co=low, o3=low","humidity=med, no2=low, pm10=low",0.25,1.0,4.0
"no2=low, o3=low","co=low, humidity=med, pm10=low",0.25,1.0,4.0
"co=low, pm10=low, wind_speed=med","no2=low, o3=low",0.25,1.0,4.0
"no2=low, pm10=low, wind_speed=med","co=low, o3=low",0.25,1.0,4.0
"co=low, o3=low, wind_speed=med","no2=low, pm10=low",0.25,1.0,4.0
"no2=low, o3=low, wind_speed=med","co=low, pm10=low",0.25,1.0,4.0
"co=low, pm10=low","no2=low, o3=low, wind_speed=med",0.25,1.0,4.0
"no2=low, pm10=low","co=low, o3=low, wind_speed=med",0.25,1.0,4.0
"co=low, o3=low","no2=low, pm10=low, wind_speed=med",0.25,1.0,4.0
"no2=low, o3=low","co=low, pm10=low, wind_speed=med",0.25,1.0,4.0
"co=low, pm10=low, precip=med","no2=low, o3=low",0.25,1.0,4.0
"no2=low, pm10=low, precip=med","co=low, o3=low",0.25,1.0,4.0
"co=low, o3=low, precip=med","no2=low, pm10=low",0.25,1.0,4.0
"no2=low, o3=low, precip=med","co=low, pm10=low",0.25,1.0,4.0
"co=low, pm10=low","no2=low, o3=low, precip=med",0.25,1.0,4.0
"no2=low, pm10=low","co=low, o3=low, precip=med",0.25,1.0,4.0
"co=low, o3=low","no2=low, pm10=low, precip=med",0.25,1.0,4.0
"no2=low, o3=low","co=low, pm10=low, precip=med",0.25,1.0,4.0
"co=low, o3=low, pm10=low, temp=med","no2=low, pm2_5=low",0.25,1.0,4.0
"co=low, pm10=low, pm2_5=low, temp=med","no2=low, o3=low",0.25,1.0,4.0
"no2=low, o3=low, pm10=low, temp=med","co=low, pm2_5=low",0.25,1.0,4.0
"no2=low, pm10=low, pm2_5=low, temp=med","co=low, o3=low",0.25,1.0,4.0
"co=low, o3=low, pm2_5=low, temp=med","no2=low, pm10=low",0.25,1.0,4.0
"no2=low, o3=low, pm2_5=low, temp=med","co=low, pm10=low",0.25,1.0,4.0
"co=low, pm10=low, temp=med","no2=low, o3=low, pm2_5=low",0.25,1.0,4.0
"no2=low, pm10=low, temp=med","co=low, o3=low, pm2_5=low",0.25,1.0,4.0
"co=low, o3=low, pm10=low","no2=low, pm2_5=low, temp=med",0.25,1.0,4.0
"co=low, pm10=low, pm2_5=low","no2=low, o3=low, temp=med",0.25,1.0,4.0
"no2=low, o3=low, pm10=low","co=low, pm2_5=low, temp=med",0.25,1.0,4.0
"no2=low, pm10=low, pm2_5=low","co=low, o3=low, temp=med",0.25,1.0,4.0
"co=low, o3=low, temp=med","no2=low, pm10=low, pm2_5=low",0.25,1.0,4.0
"co=low, pm2_5=low, temp=med","no2=low, o3=low, pm10=low",0.25,1.0,4.0
"no2=low, o3=low, temp=med","co=low, pm10=low, pm2_5=low",0.25,1.0,4.0
"no2=low, pm2_5=low, temp=med","co=low, o3=low, pm10=low",0.25,1.0,4.0
"co=low, o3=low, pm2_5=low","no2=low, pm10=low, temp=med",0.25,1.0,4.0
"no2=low, o3=low, pm2_5=low","co=low, pm10=low, temp=med",0.25,1.0,4.0
"co=low, pm10=low","no2=low, o3=low, pm2_5=low, temp=med",0.25,1.0,4.0
"no2=low, pm10=low","co=low, o3=low, pm2_5=low, temp=med",0.25,1.0,4.0
"co=low, o3=low","no2=low, pm10=low, pm2_5=low, temp=med",0.25,1.0,4.0
"co=low, pm2_5=low","no2=low, o3=low, pm10=low, temp=med",0.25,1.0,4.0
"no2=low, o3=low","co=low, pm10=low, pm2_5=low, temp=med",0.25,1.0,4.0
"no2=low, pm2_5=low","co=low, o3=low, pm10=low, temp=med",0.25,1.0,4.0
"co=low, humidity=med, o3=low, pm10=low","no2=low, pm2_5=low",0.25,1.0,4.0
"co=low, humidity=med, pm10=low, pm2_5=low","no2=low, o3=low",0.25,1.0,4.0
"humidity=med, no2=low, o3=low, pm10=low","co=low, pm2_5=low",0.25,1.0,4.0
"humidity=med, no2=low, pm10=low, pm2_5=low","co=low, o3=low",0.25,1.0,4.0
"co=low, humidity=med, o3=low, pm2_5=low","no2=low, pm10=low",0.25,1.0,4.0
"humidity=med, no2=low, o3=low, pm2_5=low","co=low, pm10=low",0.25,1.0,4.0
"co=low, humidity=med, pm10=low","no2=low, o3=low, pm2_5=low",0.25,1.0,4.0
"humidity=med, no2=low, pm10=low","co=low, o3=low, pm2_5=low",0.25,1.0,4.0
"co=low, o3=low, pm10=low","humidity=med, no2=low, pm2_5=low",0.25,1.0,4.0
"co=low, pm10=low, pm2_5=low","humidity=med, no2=low, o3=low",0.25,1.0,4.0
"no2=low, o3=low, pm10=low","co=low, humidity=med, pm2_5=low",0.25,1.0,4.0
"no2=low, pm10=low, pm2_5=low","co=low, humidity=med, o3=low",0.25,1.0,4.0
"co=low, humidity=med, o3=low","no2=low, pm10=low, pm2_5=low",0.25,1.0,4.0
"co=low, humidity=med, pm2_5=low","no2=low, o3=low, pm10=low",0.25,1.0,4.0
"humidity=med, no2=low, o3=low","co=low, pm10=low, pm2_5=low",0.25,1.0,4.0
"humidity=med, no2=low, pm2_5=low","co=low, o3=low, pm10=low",0.25,1.0,4.0
"co=low, o3=low, pm2_5=low","humidity=med, no2=low, pm10=low",0.25,1.0,4.0
"no2=low, o3=low, pm2_5=low","co=low, humidity=med, pm10=low",0.25,1.0,4.0
"co=low, pm10=low","humidity=med, no2=low, o3=low, pm2_5=low",0.25,1.0,4.0
"no2=low, pm10=low","co=low, humidity=med, o3=low, pm2_5=low",0.25,1.0,4.0
"co=low, o3=low","humidity=med, no2=low, pm10=low, pm2_5=low",0.25,1.0,4.0
"co=low, pm2_5=low","humidity=med, no2=low, o3=low, pm10=low",0.25,1.0,4.0
"no2=low, o3=low","co=low, humidity=med, pm10=low, pm2_5=low",0.25,1.0,4.0
"no2=low, pm2_5=low","co=low, humidity=med, o3=low, pm10=low",0.25,1.0,4.0
